,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
Switzerland,-76%,-25%,+42%,-48%,-42%,+12%
Aargau,-72% ,+4% ,+108% ,-30% ,-38% ,+10% 
Appenzell Ausserrhoden,-62% ,+13% ,,-27% ,-29% ,
Appenzell Innerrhoden,-80% ,,,,-31% ,
Basel City,-84% ,-14% ,+11% ,-65% ,-40% ,+24% 
Basel-Landschaft,-65% ,+18% ,+110% ,-32% ,-31% ,+22% 
Canton of Bern,-74% ,-25% ,+46% ,-49% ,-39% ,+10% 
Canton of Zug,-64% ,+26% ,,-39% ,-42% ,+27% 
Fribourg,-77% ,-15% ,+29% ,-39% ,-39% ,+19% 
Geneva,-79% ,-35% ,+41% ,-77% ,-46% ,+21% 
Glarus,-87% ,-6% ,,-2% ,-39% ,
Grisons,-88% ,-73% ,-35% ,-68% ,-57% ,+19% 
Jura,-81% ,-17% ,,-30% ,-35% ,+14% 
Lucerne,-79% ,+1% ,+25% ,-46% ,-39% ,+16% 
Neuchâtel,-72% ,-26% ,-18% ,-33% ,-39% ,+28% 
Nidwalden,-62% ,+0% ,-36% ,-57% ,-41% ,
Obwalden,-83% ,-4% ,-49% ,-51% ,-42% ,
Schaffhausen,-81% ,+30% ,,-34% ,-37% ,+2% 
Schwyz,-62% ,+13% ,+55% ,-32% ,-37% ,+21% 
Solothurn,-72% ,-8% ,+100% ,-40% ,-35% ,+15% 
St. Gallen,-73% ,-9% ,+70% ,-29% ,-36% ,+11% 
Thurgau,-66% ,+7% ,+105% ,-19% ,-32% ,+15% 
Ticino,-86% ,-65% ,-41% ,-57% ,-47% ,+21% 
Uri,-74% ,+0% ,,-62% ,-48% ,
Valais,-83% ,-52% ,-26% ,-60% ,-52% ,+14% 
Vaud,-73% ,-24% ,+25% ,-48% ,-44% ,+14% 
Zurich,-76% ,-8% ,+65% ,-56% ,-42% ,+12% 
Poland,-71%,+41%,-59%,-68%,-27%,+12%
Greater Poland Voivodeship,-70% ,+43% ,-47% ,-68% ,-27% ,+12% 
Kuyavian-Pomeranian Voivodeship,-67% ,+46% ,-55% ,-76% ,-22% ,+10% 
Lesser Poland Voivodeship,-80% ,+1% ,-76% ,-78% ,-34% ,+14% 
Lower Silesian Voivodeship,-73% ,+40% ,-59% ,-72% ,-27% ,+12% 
Lublin Voivodeship,-70% ,+34% ,-52% ,-75% ,-27% ,+13% 
Lubusz Voivodeship,-66% ,+35% ,-36% ,-67% ,-24% ,+10% 
Masovian Voivodeship,-70% ,+32% ,-68% ,-69% ,-28% ,+13% 
Opole Voivodeship,-69% ,+84% ,-43% ,-68% ,-27% ,+11% 
Podkarpackie Voivodeship,-71% ,+37% ,-48% ,-72% ,-32% ,+13% 
Podlaskie Voivodeship,-72% ,+45% ,-38% ,-64% ,-25% ,+11% 
Pomeranian Voivodeship,-73% ,+53% ,-62% ,-70% ,-26% ,+12% 
Silesian Voivodeship,-72% ,+65% ,-57% ,-64% ,-28% ,+13% 
Swietokrzyskie,-73% ,+50% ,-50% ,-71% ,-28% ,+12% 
Warmian-Masurian Voivodeship,-66% ,+51% ,-46% ,-64% ,-25% ,+10% 
West Pomeranian Voivodeship,-70% ,+53% ,-69% ,-61% ,-25% ,+10% 
Łódź Voivodeship,-65% ,+59% ,-55% ,-62% ,-20% ,+12% 
North Macedonia,-78%,-41%,-65%,-75%,-54%,+19%
Sweden,-25%,-9%,+69%,-37%,-18%,+6%
Blekinge County,-3% ,-6% ,+26% ,-7% ,-17% ,+10% 
Dalarna County,-42% ,-15% ,-13% ,-38% ,-20% ,+7% 
Gavleborg County,-29% ,-8% ,+15% ,-26% ,-16% ,+5% 
Gotland County,-3% ,-8% ,,-44% ,-6% ,+7% 
Halland County,-11% ,-5% ,+30% ,-15% ,-14% ,+5% 
Jamtland County,-35% ,-27% ,+28% ,-45% ,-18% ,+10% 
Jonkoping County,-24% ,-7% ,+61% ,-25% ,-21% ,+5% 
Kalmar County,-15% ,-2% ,+81% ,-19% ,-12% ,+5% 
Kronoberg County,-23% ,-7% ,,-29% ,-18% ,+10% 
Norrbotten County,-31% ,-10% ,+110% ,-35% ,-18% ,+2% 
Skåne County,-17% ,-4% ,+117% ,-36% ,-13% ,+4% 
Stockholm County,-34% ,-15% ,+12% ,-51% ,-22% ,+8% 
Södermanland County,-21% ,-9% ,+41% ,-45% ,-20% ,+6% 
Uppsala County,-30% ,-7% ,+26% ,-43% ,-20% ,+8% 
Varmland County,-33% ,-11% ,-19% ,-34% ,-15% ,+6% 
Västerbotten County,-29% ,-8% ,+67% ,-35% ,-19% ,+4% 
Västernorrland County,-27% ,-7% ,-14% ,-30% ,-17% ,+5% 
Västmanland County,-21% ,-7% ,+43% ,-39% ,-18% ,+6% 
Västra Götaland County,-23% ,-8% ,+75% ,-32% ,-18% ,+5% 
Örebro County,-26% ,-7% ,+34% ,-33% ,-17% ,+6% 
Östergötland County,-20% ,-11% ,+72% ,-35% ,-17% ,+6% 
France,-85%,-62%,-73%,-82%,-53%,+17%
Auvergne-Rhône-Alpes,-85% ,-64% ,-68% ,-85% ,-52% ,+18% 
Bourgogne-Franche-Comté,-83% ,-67% ,-61% ,-84% ,-49% ,+17% 
Brittany,-84% ,-67% ,-74% ,-81% ,-50% ,+17% 
Centre-Val de Loire,-81% ,-64% ,-68% ,-86% ,-48% ,+16% 
Corsica,-86% ,-59% ,-70% ,-83% ,-53% ,+20% 
Grand Est,-84% ,-64% ,-62% ,-83% ,-54% ,+16% 
Hauts-de-France,-83% ,-55% ,-69% ,-82% ,-50% ,+16% 
Normandy,-82% ,-59% ,-67% ,-85% ,-48% ,+16% 
Nouvelle-Aquitaine,-84% ,-67% ,-72% ,-82% ,-49% ,+18% 
Occitanie,-84% ,-64% ,-68% ,-84% ,-50% ,+17% 
Pays de la Loire,-84% ,-69% ,-68% ,-85% ,-50% ,+18% 
Provence-Alpes-Côte d'Azur,-87% ,-60% ,-80% ,-82% ,-54% ,+18% 
Île-de-France,-90% ,-56% ,-83% ,-82% ,-59% ,+19% 
Indonesia,-43%,-24%,-50%,-58%,-17%,+14%
Colombia,-85%,-66%,-79%,-81%,-57%,+26%
Tanzania,-20%,-12%,-13%,-15%,-12%,+5%
Panama,-95%,-95%,-86%,-89%,-74%,+36%
Uruguay,-71%,-36%,-79%,-68%,-35%,+21%
Artigas Department,-55% ,-27% ,-68% ,-77% ,-21% ,-3% 
Canelones Department,-69% ,-42% ,-79% ,-73% ,-32% ,+20% 
Cerro Largo Department,-71% ,-29% ,-78% ,-70% ,-22% ,+13% 
Colonia Department,-79% ,-47% ,-84% ,-92% ,-37% ,+20% 
Durazno Department,-65% ,-33% ,-66% ,-77% ,-24% ,-2% 
Flores Department,-67% ,-31% ,-68% ,,-17% ,
Florida Department,-58% ,-34% ,-76% ,-66% ,-26% ,+13% 
Lavalleja Department,-47% ,-27% ,-76% ,-68% ,-24% ,-2% 
Maldonado Department,-88% ,-61% ,-90% ,-85% ,-56% ,+23% 
Montevideo Department,-68% ,-27% ,-72% ,-53% ,-37% ,+22% 
Paysandú Department,-60% ,-4% ,-75% ,-71% ,-25% ,+16% 
Rivera Department,-65% ,-28% ,-76% ,-58% ,-33% ,+14% 
Rocha Department,-87% ,-70% ,-91% ,-90% ,-35% ,+9% 
Río Negro Department,-67% ,-35% ,-78% ,-68% ,-32% ,-3% 
Salto Department,-62% ,-33% ,-71% ,-71% ,-28% ,+15% 
San José Department,-56% ,-22% ,-78% ,-55% ,-24% ,+17% 
Soriano Department,-61% ,-29% ,-78% ,,-23% ,+13% 
Tacuarembó Department,-64% ,-36% ,-76% ,-73% ,-25% ,+14% 
Treinta y Tres Department,-55% ,-5% ,-78% ,-37% ,-17% ,
Portugal,-84%,-60%,-88%,-82%,-55%,+23%
Aveiro District,-84% ,-61% ,-92% ,-87% ,-53% ,+25% 
Azores,-86% ,-56% ,-70% ,-90% ,-49% ,+31% 
Beja District,-86% ,-57% ,-67% ,,-44% ,+23% 
Braga,-84% ,-59% ,-89% ,-78% ,-54% ,+25% 
Bragança District,-88% ,-64% ,-81% ,-68% ,-56% ,+18% 
Castelo Branco District,-83% ,-67% ,-84% ,-86% ,-53% ,+30% 
Coimbra District,-84% ,-61% ,-87% ,-81% ,-50% ,+24% 
Faro District,-83% ,-61% ,-85% ,-87% ,-57% ,+23% 
Guarda District,-88% ,-65% ,-85% ,-68% ,-54% ,+26% 
Leiria District,-86% ,-62% ,-92% ,-85% ,-52% ,+25% 
Lisbon,-85% ,-59% ,-89% ,-83% ,-58% ,+23% 
Madeira,-88% ,-59% ,-84% ,-79% ,-61% ,+28% 
Portalegre District,-88% ,-62% ,-78% ,,-47% ,+24% 
Porto District,-84% ,-59% ,-90% ,-83% ,-55% ,+24% 
Santarém District,-85% ,-61% ,-88% ,-86% ,-50% ,+22% 
Setubal,-83% ,-56% ,-88% ,-76% ,-57% ,+21% 
Viana do Castelo District,-87% ,-67% ,-87% ,-78% ,-53% ,+25% 
Vila Real District,-87% ,-63% ,-82% ,-79% ,-53% ,+32% 
Viseu District,-84% ,-60% ,-76% ,-67% ,-52% ,+22% 
Évora District,-84% ,-58% ,-81% ,-79% ,-51% ,+28% 
Zimbabwe,-63%,-53%,-47%,-77%,-36%,+32%
Argentina,-83%,-54%,-87%,-76%,-52%,+26%
Buenos Aires,-88% ,-44% ,-89% ,-80% ,-66% ,+30% 
Buenos Aires Province,-84% ,-53% ,-89% ,-73% ,-56% ,+25% 
Catamarca Province,-66% ,-33% ,-74% ,-79% ,-29% ,+27% 
Chaco Province,-72% ,-51% ,-77% ,-90% ,-40% ,+21% 
Chubut Province,-86% ,-59% ,-92% ,-87% ,-51% ,+25% 
Cordoba,-85% ,-60% ,-88% ,-89% ,-52% ,+29% 
Corrientes,-76% ,-56% ,-86% ,-88% ,-39% ,+23% 
Entre Rios,-83% ,-57% ,-91% ,-82% ,-46% ,+27% 
Formosa Province,-69% ,-40% ,-78% ,-63% ,-30% ,+18% 
Jujuy,-73% ,-40% ,-78% ,-89% ,-36% ,+23% 
La Pampa,-83% ,-64% ,-86% ,-82% ,-50% ,+26% 
La Rioja Province,-64% ,-52% ,-78% ,-83% ,-39% ,+24% 
Mendoza Province,-78% ,-50% ,-81% ,-69% ,-45% ,+27% 
Misiones Province,-75% ,-52% ,-80% ,-91% ,-42% ,+24% 
Neuquen,-96% ,-94% ,-95% ,-89% ,-69% ,+32% 
Río Negro,-88% ,-66% ,-90% ,-96% ,-51% ,+27% 
Salta Province,-77% ,-43% ,-80% ,-67% ,-40% ,+24% 
San Juan Province,-71% ,-42% ,-76% ,-85% ,-39% ,+25% 
San Luis Province,-82% ,-57% ,-88% ,-91% ,-49% ,+28% 
Santa Cruz Province,-80% ,-66% ,-87% ,-85% ,-53% ,+23% 
Santa Fe Province,-83% ,-56% ,-87% ,-70% ,-52% ,+27% 
Santiago del Estero Province,-72% ,-44% ,-71% ,-87% ,-40% ,+23% 
Tierra del Fuego Province,-86% ,-62% ,-89% ,-93% ,-59% ,+24% 
Tucumán,-76% ,-43% ,-72% ,-86% ,-43% ,+25% 
Qatar,-50%,-21%,-35%,-52%,-36%,+24%
Hungary,-54%,-27%,+20%,-44%,-29%,+8%
Baranya,-60% ,-27% ,+53% ,-35% ,-25% ,+7% 
Borsod-Abaúj-Zemplén,-43% ,-27% ,+61% ,-23% ,-23% ,+6% 
Budapest,-67% ,-28% ,-26% ,-62% ,-36% ,+11% 
Bács-Kiskun,-49% ,-24% ,+27% ,-40% ,-25% ,+7% 
Békés County,-38% ,-21% ,+5% ,-36% ,-22% ,+6% 
Csongrád,-55% ,-23% ,+7% ,-35% ,-26% ,+8% 
Fejér,-38% ,-27% ,+63% ,-39% ,-31% ,+7% 
Gyor-Moson-Sopron,-60% ,-34% ,+36% ,-47% ,-35% ,+9% 
Hajdú-Bihar,-52% ,-32% ,+59% ,-46% ,-25% ,+7% 
Heves County,-45% ,-29% ,+8% ,-32% ,-37% ,+10% 
Jász-Nagykun-Szolnok,-38% ,-21% ,+37% ,-40% ,-20% ,+6% 
Komárom-Esztergom,-40% ,-24% ,+111% ,-29% ,-25% ,+7% 
Nógrád County,-31% ,-19% ,-29% ,-14% ,-22% ,+17% 
Pest County,-41% ,-26% ,+104% ,-19% ,-27% ,+8% 
Somogy County,-41% ,-26% ,+49% ,-28% ,-26% ,+8% 
Szabolcs-Szatmár-Bereg,-35% ,-32% ,+0% ,-31% ,-23% ,+6% 
Tolna County,-35% ,-27% ,,-36% ,-24% ,+17% 
Vas County,-54% ,-35% ,+19% ,-35% ,-34% ,+11% 
Veszprém,-38% ,-25% ,+65% ,-22% ,-31% ,+7% 
Zala County,-53% ,-34% ,+8% ,-34% ,-34% ,+9% 
Kazakhstan,-62%,-43%,-30%,-47%,-36%,+12%
Taiwan,-22%,-7%,-12%,-28%,-9%,+6%
Mali,-24%,-17%,-16%,-38%,+0%,+8%
Belgium,-76%,-36%,-13%,-60%,-46%,+15%
Brussels,-84% ,-49% ,+9% ,-72% ,-57% ,+17% 
Flanders,-75% ,-26% ,-15% ,-55% ,-45% ,+14% 
Wallonia,-78% ,-48% ,-28% ,-62% ,-46% ,+15% 
Tajikistan,-6%,-6%,+0%,-15%,+6%,-2%
Italy,-95%,-82%,-90%,-86%,-62%,+24%
Abruzzo,-95% ,-79% ,-90% ,-89% ,-62% ,+25% 
Aosta,-96% ,-87% ,-89% ,-86% ,-64% ,+34% 
Apulia,-94% ,-81% ,-88% ,-88% ,-63% ,+25% 
Basilicata,-93% ,-79% ,-78% ,-83% ,-59% ,+22% 
Calabria,-95% ,-91% ,-85% ,-90% ,-62% ,+22% 
Campania,-95% ,-74% ,-90% ,-88% ,-66% ,+24% 
Emilia-Romagna,-96% ,-93% ,-88% ,-87% ,-63% ,+24% 
Friuli-Venezia Giulia,-95% ,-94% ,-91% ,-83% ,-58% ,+24% 
Lazio,-94% ,-71% ,-89% ,-87% ,-61% ,+24% 
Liguria,-94% ,-78% ,-91% ,-84% ,-59% ,+23% 
Lombardy,-96% ,-77% ,-90% ,-88% ,-64% ,+24% 
Marche,-95% ,-86% ,-91% ,-85% ,-64% ,+27% 
Molise,-94% ,-81% ,-84% ,-81% ,-59% ,+28% 
Piedmont,-95% ,-80% ,-88% ,-85% ,-59% ,+23% 
Sardinia,-94% ,-92% ,-87% ,-80% ,-54% ,+22% 
Sicily,-96% ,-93% ,-91% ,-89% ,-67% ,+25% 
Trentino-South Tyrol,-95% ,-93% ,-91% ,-85% ,-64% ,+25% 
Tuscany,-95% ,-81% ,-90% ,-84% ,-61% ,+25% 
Umbria,-95% ,-86% ,-86% ,-80% ,-59% ,+25% 
Veneto,-96% ,-95% ,-91% ,-88% ,-61% ,+25% 
Ghana,-52%,-40%,-33%,-58%,-13%,+20%
Paraguay,-73%,-57%,-75%,-80%,-34%,+26%
Greece,-85%,-45%,-70%,-80%,-55%,+21%
Brazil,-67%,-24%,-66%,-57%,-30%,+15%
Federal District,-64% ,-20% ,-62% ,-53% ,-33% ,+17% 
State of Acre,-67% ,-20% ,-56% ,-65% ,-23% ,+10% 
State of Alagoas,-69% ,-27% ,-68% ,-71% ,-26% ,+14% 
State of Amapá,-70% ,-22% ,-53% ,-73% ,-28% ,+11% 
State of Amazonas,-64% ,-21% ,-63% ,-47% ,-29% ,+13% 
State of Bahia,-70% ,-33% ,-68% ,-71% ,-31% ,+16% 
State of Ceará,-74% ,-28% ,-70% ,-66% ,-31% ,+15% 
State of Espírito Santo,-67% ,-28% ,-72% ,-68% ,-30% ,+16% 
State of Goiás,-61% ,-18% ,-37% ,-45% ,-25% ,+13% 
State of Maranhão,-59% ,-18% ,-48% ,-64% ,-18% ,+12% 
State of Mato Grosso,-57% ,-19% ,-38% ,-52% ,-19% ,+9% 
State of Mato Grosso do Sul,-59% ,-20% ,-44% ,-58% ,-20% ,+11% 
State of Minas Gerais,-62% ,-19% ,-41% ,-52% ,-27% ,+13% 
State of Paraná,-68% ,-29% ,-61% ,-56% ,-29% ,+14% 
State of Paraíba,-72% ,-28% ,-70% ,-60% ,-29% ,+16% 
State of Pará,-58% ,-16% ,-53% ,-62% ,-18% ,+12% 
State of Pernambuco,-71% ,-26% ,-69% ,-57% ,-31% ,+16% 
State of Piauí,-69% ,-32% ,-48% ,-77% ,-26% ,+17% 
State of Rio Grande do Norte,-70% ,-30% ,-71% ,-64% ,-30% ,+18% 
State of Rio Grande do Sul,-70% ,-28% ,-68% ,-62% ,-31% ,+18% 
State of Rio de Janeiro,-69% ,-24% ,-78% ,-57% ,-35% ,+16% 
State of Rondônia,-56% ,-11% ,-30% ,-66% ,-18% ,+9% 
State of Roraima,-65% ,-19% ,-54% ,-67% ,-21% ,+11% 
State of Santa Catarina,-74% ,-37% ,-80% ,-72% ,-35% ,+17% 
State of Sergipe,-69% ,-26% ,-65% ,-79% ,-25% ,+14% 
State of São Paulo,-67% ,-21% ,-58% ,-55% ,-32% ,+15% 
State of Tocantins,-54% ,-22% ,-29% ,-63% ,-16% ,+9% 
Czechia,-63%,-13%,+45%,-46%,-27%,+7%
Central Bohemian Region,-51% ,-5% ,+138% ,+2% ,-25% ,+8% 
Hradec Králové Region,-69% ,-19% ,+20% ,-57% ,-26% ,+7% 
Karlovy Vary Region,-65% ,-26% ,-5% ,-59% ,-27% ,+5% 
Liberec Region,-62% ,-10% ,+36% ,-51% ,-32% ,+7% 
Moravian-Silesian Region,-59% ,-7% ,+75% ,-50% ,-23% ,+7% 
Olomouc Region,-62% ,-15% ,+57% ,-61% ,-24% ,+7% 
Pardubice Region,-64% ,-15% ,+67% ,-64% ,-24% ,+7% 
Plzeň Region,-65% ,-18% ,+67% ,-39% ,-27% ,+7% 
Prague,-70% ,-19% ,-17% ,-61% ,-34% ,+10% 
South Bohemian Region,-64% ,-16% ,+42% ,-48% ,-27% ,+6% 
South Moravian Region,-60% ,-14% ,+68% ,-36% ,-26% ,+8% 
Vysocina Region,-65% ,-11% ,+105% ,-44% ,-26% ,+7% 
Zlin Region,-61% ,-13% ,+66% ,-56% ,-27% ,+7% 
Ústí nad Labem Region,-60% ,-10% ,+79% ,-35% ,-20% ,+5% 
Barbados,-88%,-92%,-88%,-90%,-75%,+27%
Christ Church,-93% ,-94% ,,-100% ,-78% ,+17% 
Saint George,-35% ,,-83% ,,-83% ,
Saint James,-93% ,-100% ,,,-76% ,
Saint John,,,,,-68% ,
Saint Lucy,,,,,-71% ,
Saint Michael,-90% ,-93% ,-100% ,-85% ,-77% ,+14% 
Saint Peter,-75% ,-12% ,,,-79% ,
Saint Philip,-85% ,-100% ,,,-72% ,
Saint Thomas,-40% ,,,,-71% ,
Namibia,-56%,-42%,-36%,-75%,-30%,+15%
Nepal,-76%,-68%,-54%,-73%,-69%,+27%
Cameroon,-27%,-18%,-22%,-25%,-2%,+10%
Aruba,-76%,-50%,-51%,-77%,-64%,+34%
Laos,-59%,-41%,-23%,-67%,-19%,+15%
Israel,-75%,+6%,-52%,-57%,-60%,+30%
Myanmar (Burma),-51%,-29%,-20%,-41%,-19%,+13%
New Zealand,-90%,-48%,-74%,-84%,-57%,+21%
Auckland,-88% ,-48% ,-69% ,-86% ,-63% ,+24% 
Bay Of Plenty,-91% ,-44% ,-84% ,-79% ,-48% ,+21% 
Canterbury,-89% ,-45% ,-70% ,-88% ,-56% ,+21% 
Gisborne,-100% ,-42% ,-83% ,,-44% ,
Hawke's Bay,-94% ,-49% ,-77% ,-84% ,-45% ,+30% 
Manawatu-Wanganui,-94% ,-43% ,-74% ,-77% ,-50% ,+31% 
Marlborough,-93% ,-54% ,-76% ,-87% ,-23% ,+0% 
Nelson,-100% ,-55% ,-72% ,,-57% ,+4% 
Northland,-93% ,-51% ,-87% ,-86% ,-52% ,+31% 
Otago,-95% ,-59% ,-83% ,-91% ,-64% ,+39% 
Southland,-95% ,-53% ,-86% ,,-49% ,+17% 
Taranaki,-94% ,-43% ,-80% ,,-51% ,+17% 
Tasman,-89% ,-67% ,-84% ,,-52% ,
Waikato,-93% ,-49% ,-83% ,-79% ,-56% ,+22% 
Wellington,-92% ,-46% ,-40% ,-80% ,-61% ,+19% 
West Coast,-100% ,-59% ,-85% ,,-49% ,
Bulgaria,-70%,-37%,-53%,-65%,-35%,+13%
Blagoevgrad Province,-77% ,-48% ,-54% ,-71% ,-46% ,+13% 
Burgas,-70% ,-39% ,-67% ,-60% ,-39% ,+13% 
Dobrich Province,-62% ,-32% ,-53% ,,-24% ,+14% 
Gabrovo,-66% ,-32% ,-30% ,,-28% ,+16% 
Haskovo Province,-73% ,-42% ,-54% ,-75% ,-38% ,+17% 
Jambol,-63% ,-43% ,-53% ,,-29% ,+16% 
Kardzhali Province,-79% ,-54% ,-57% ,-81% ,-46% ,+12% 
Kyustendil Province,-62% ,-39% ,-55% ,-46% ,-36% ,+18% 
Lovec,-70% ,-31% ,-34% ,,-26% ,+16% 
Montana Province,-47% ,-36% ,-29% ,-58% ,-21% ,+14% 
Pazardzhik,-73% ,-42% ,-55% ,-69% ,-41% ,+16% 
Pernik,-65% ,-36% ,-46% ,,-28% ,+20% 
Pleven Province,-67% ,-35% ,-37% ,,-27% ,+12% 
Plovdiv Province,-77% ,-42% ,-63% ,-65% ,-37% ,+15% 
Razgrad,-56% ,-62% ,,,-19% ,+11% 
Ruse,-62% ,-35% ,-39% ,-59% ,-27% ,+11% 
Shumen Province,-68% ,-34% ,-49% ,-65% ,-23% ,+17% 
Silistra,-49% ,-24% ,,,-12% ,-3% 
Sliven Province,-69% ,-39% ,-47% ,-51% ,-32% ,+17% 
Smoljan,-76% ,-68% ,-63% ,,-49% ,+2% 
Sofia City Province,-73% ,-36% ,-63% ,-69% ,-39% ,+16% 
Sofia Province,-67% ,-34% ,-49% ,,-35% ,+15% 
Stara Zagora,-67% ,-38% ,-47% ,-37% ,-33% ,+13% 
Targovishte Province,-61% ,-30% ,,,-24% ,+2% 
Varna,-71% ,-35% ,-62% ,-77% ,-36% ,+12% 
Veliko Tarnovo Province,-68% ,-38% ,-44% ,-54% ,-30% ,+12% 
Vidin,-62% ,-29% ,,,-24% ,
Vraca,-58% ,-32% ,-20% ,-54% ,-23% ,+17% 
India,-77%,-65%,-56%,-71%,-43%,+21%
Belize,-76%,-64%,-63%,-82%,-57%,+22%
Venezuela,-65%,-48%,-58%,-65%,-29%,+15%
Bolivia,-93%,-94%,-89%,-91%,-71%,+35%
Côte d'Ivoire,-33%,-22%,-23%,-37%,-7%,+14%
Dominican Republic,-78%,-60%,-71%,-83%,-53%,+22%
Lithuania,-63%,-26%,+63%,-49%,-28%,+8%
Alytus County,-62% ,-25% ,+66% ,-64% ,-26% ,+21% 
Kaunas County,-65% ,-27% ,+43% ,-54% ,-28% ,+8% 
Klaipėda County,-59% ,-13% ,+79% ,-26% ,-32% ,+8% 
Marijampolė County,-47% ,-31% ,-3% ,-28% ,-20% ,+21% 
Panevėžys County,-61% ,-19% ,+47% ,-46% ,-21% ,+10% 
Tauragė County,-42% ,-14% ,,-54% ,-19% ,+15% 
Telšiai County,-54% ,-29% ,+16% ,-44% ,-14% ,+20% 
Utena County,-51% ,-5% ,+96% ,-24% ,-24% ,+19% 
Vilnius County,-67% ,-31% ,+64% ,-58% ,-35% ,+10% 
Šiauliai County,-63% ,-27% ,+68% ,-15% ,-24% ,+7% 
Bangladesh,-67%,-44%,-29%,-64%,-54%,+22%
Iraq,-65%,-43%,-47%,-62%,-55%,+21%
Yemen,-5%,+2%,-6%,-12%,-7%,+4%
